id,text,class,sentiment,label
39,"From wanting to see a doctor… to wanting to get medicine… close to 2 hours more… government clinic is good service again… service is slow to get well… staff near the medicine counter talk a lot, take each other from wanting to do work… when asked… yes yes we blink again call… then laugh, continue chatting… rude !!
",,,1Negative#Staff
40,"To be honest, worst clinic ever. Dr. is not an expert and wrong diagnosis of the disease. Then you are not responsible for your own mistakes. I will not be angry if they are at least being responsible. But no. They say it all my imagination even though there are obvious injury effects.
",,,1Negative#Staff#Treatment
41,"The service was very slow, last he came here
",,,1Negative#Appointments
42,"I came with a child who had a flu and I was healthy from afar because it was already 11pm. but first time meet dr Toh does not treat well. Me  who is coughing colds and migraines she does not check. Just take the temperature check the throat. I am not healthy ,ask leave for tomorrow he doesnt give. said cough cold can go to work. These covid seasons are hard to work in this kind of situation. seeing the one chinese girl is alright and playing with her phone but can get a leave..   dr does not have common sense . Remember people like to come far away at night. Other doctor is fine . Does not need to hire Dr like this. The image of the idzham clinic is damaged.
",,,1Negative#Staff#Treatment
43,"The most rude clinic I've ever been to. When a client has been in the service of Idzham Clinic the city for a long time. Can speak to customers who do not understand the language. Melayu has insane clinic ... I swear I'll never walk in here again! Please hope the idzham Clinic boss can fix the attitude nurse2 that works. Bastard!
",,,1Negative#Staff
44,"Service slow. Que is too long and slow. Almost 2 hours !!! If you can find Dr Locum it is not reliable
",,,1Negative#Appointments#Treatment
45,"The wait time is too long even though there are 3 patients. If you have an emergency & are in a hurry, don't come to this clinic. …",,,1Negative#Appointments
46,"Good place ..
",,,1Positive#Facilities
47,"Easy to find location
",,,1Positive#Facilities
48,"Felt discriminated and got denied patient's right to ask for clear explanations. First time ever hearing from a doctor, ""We should stop talking now, YOU MAY INFECT ME."" I do not have to be medically knowledgeable to know that many normal illnesses are infectious, and that is why we go to doctor. Even kids without high education also understand respect (and minimum sense of responsibility). Have to go to see another doctor at the end. Moral lesson: Should have trusted the 1-star rating reviews here before going to his 'clinic'.",,,1Negative#Staff#Treatment
49,"Worst clinic I have ever been to. Did not even bother checking, just asked me straight up what I want?
How am i supposed to know what I want? Who is the doctor here?
He also seems like he doesnt want to be there. The nurse too! How is this clinic even still open?",,,1Negative#Staff
50,"Dr Mxx was so rude to me
was trying to explain what happen to me
but he just ask me to go straight to the point
the most impatient doctor i've ever seen
don't even care to listen
won't visit this clinic again
was deciding should i go to chandran clinic opposite initially, but then i went to this mediveron 
regretted my decision
i have to at least give 1 star else google won't let me post this review, but if can, i would give zero star",,,1Negative#Staff#Treatment
51,"Worst doctor and nurse ever ! Both do not have manner and unprofessional. Patient go and consult doctor but no explanation given, just wanted to end consultation asap.",,,1Negative#Staff#Treatment
52,"Did PCR Test on last Thursday, today is Monday the result is not yet out, call the clinic number but they did not even bother to pick up my call, then what’s the point of uploading clinic phone number there? I m close contact now, are you expecting me to physically visit your clinic again to ask for the PCR report? The one and only time the receptionist accept my call, she failed to recognise my ic number even I repeated twice, DO YOU GUYS EVEN KEEP MY MEDICAL RECORD IN YOUR CLINIC PROPERLY?",,,1Negative#Appointments#Staff#Treatment
53,Super slow. Don't know what the Dr doing inside. Waited almost an hour and left without seeing the Dr since I was running late to work,,,1Negative#Appointments
54,"First, when entering clinic is full of indian culture/religion smell (maybe I'm sensible of smell but this make me headache enough)
Second, for local people have to consider due to mostly is foreign patients
For who come with vehicles, this location hardly to find parking and have to park very far away. Imagine you sick enough.",,,1Negative#Facilities
55,"Unprofessional and negligent way of handling patients. Provided unnecessary medications and non accurate medical advice.
To top it off? Dr matthews here thinks he is in his right to treat patients the way he does. The reviews here spoke accurately in their description of this clinic.",,,1Negative#Staff#Treatment
56,"Almost all the 1 or 2 stars reviews here is spot on. This doctor should just close shop and stay at home rather than provide such lousy service. Mother-in-law went there due to high diabetic indication. He just mindlessly asked why we are there to 'impact' him! I think he is not only rude but mentally unstable or paranoid. If he doesnt want to be there to treat patients, he should just stay home. Or MOH should come to close him down",,,1Negative#Staff#Treatment
57,Seriously... the doctor is the worst doctor i ever met in my life! So RUDE! If i can give zero star i would !  And the clinic smells like garbage..,,,1Negative#Facilities#Staff
58,Can anyone let me know whats the phone number for this kilnik then number given always line busy and search facebook which says out of service,,,1Negative#Appointments
59,"The doctor didn't even seem like he wanted to be there. I told him I thought I was having an allergic reaction on my lips but couldn't be sure as it had never happened before and I didn't know what was causing it. After a short examination, …",,,1Negative#Staff#Treatment
60,"The clinic is badly maintained, doctor takes temperature reading from clinic assistance with standing thermometer at the entrance. Clinic assistances are not helpful and appear like they don’t want to be there.",,,1Negative#Facilities#Staff#Treatment
61,"The worst doctor ever is Dr Matthew. Just went the clinic and he is not professional at all, was asking him why i am vomit and dizzy what kind of sickness is this and he can answered you :( I don’t know ) is he a certified doctor??? I know maybe I’m using company panel card and not paying any cash money that’s why you treat me like this?? I will go through MMC to complaint about you! This kind of doctor in the world will only harm more patients.",,,1Negative#Staff#Treatment
62,Dont bother going to this clinic. Called the receptionist thrice and she put me on hold for 10 minutes each time. I can hear she chatting with other people on the background.,,,1Negative#Appointments#Staff
63,"Very unprofessional clinic, only visit here if you are expecting for more troubles. …",,,1Negative#Staff
64,"Dr Matthew Somasundram seems to be more afraid of treating the patients than the patients. Looks like he studied medicine not to serve the patients but just for the ""DR"" in front of the name.  Worst Dr!",,,1Negative#Staff#Treatment
65,"Seriously is the worst clinic I ever go in my life. The doctor were so rude and not professional , is me who tell him my condition and not him to consult me how to do and what to do for fast recovery.
Any question I ask, the doctor keep avoiding it. Really so damn regret coming to this clinic.",,,1Negative#Staff#Treatment
66,"Slow & unprofessional,don’t come again,if you care your life",,,1Negative#Staff
67,"Came to this clinic only because the other was packed. Told unwell symptoms to Dr, Dr said I'm speculating and should become a reporter. Said I'm only feeling so because I'm stressing out its Monday blues. So this is why clinic rating is low..",,,1Negative#Staff#Treatment
68,The best doctor I ever seen. I don't know what kind situation other patient faced. Dr Matthew is best doctor I ever seen. I knew him very well.,,,1Positive#Staff
69,Bloody over charged!!!! Teribble service and attitude. Bad experience having injection. Nurse no experience too young. No communication with doctor. Dont go waste money and time.,,,1Negative#Appointments#Staff#Treatment
70,Highly recommended!!Dr Usha takes the times to give details explanation.the team and facilities are awesome.,,,1Positive#Staff#Treatment
71,"Only go here if emergency or out of choice
Staff face looks like rude. Doctor there especially Dr. Matthew, act like a pro but overall just talk about nonsense and things that are not related to your situation.",,,1Negative#Staff#Treatment
72,"Matthew, the so called doctor  running this clinic is incompetent, does not care about patient, arrogant, and think he knows everything. It is no wonder all the reviews on this run down clinic is poor. He should remember he is only a GP not a specialist",,,1Negative#Staff#Treatment
73,The doctor was terrible. He didn't bother checking properly and actually worsened my infection.,,,1Negative#Staff#Treatment
74,The doctor is talking very rude and he thinks that I was bluffing! Thinking i am faking my sickness for mc? Not even taking my body temperature. When i when to second clinic and my body temperature is 37.5! I know my own body better than you do!,,,1Negative#Staff#Treatment
75,First mistake the Doc. didn't take my pressure at all althogh I told him i felt dizzy. Secondly my concern is my neck stiffness but wrote down headache and the spelling of headache eventually  was wrong. Overall poor services and bad attitude. Have doubts wheather the Dr are well trained practitioner,,,1Negative#Staff#Treatment
76,"Dr. Matthew is the rudest Dr that I have ever met... He is a heartless human being, I really doubt his qualifications as a Dr.",,,1Negative#Staff
77,Never updated the operating hours,,,1Negative#Appointments
78,"The service is bad.The nurse is rude.After made the payment, I requested to see doctor again for few questions the nurse refused my request for the reason the doctor are busy.",,,1Negative#Appointments#Staff
79,"Bad doctor, ignore patient questions when she can’t answer.",,,1Negative#Staff#Treatment
80,"Very Poor Service, Bad attitude nurse.  Never visit again.",,,1Negative#Staff
81,"Very rude, not helpful",,,1Negative#Staff
82,Bad attitude. Won’t visit again,,,1Negative#Staff
83,Rubbish clinic with unprofessional doctor (Dr Matthew) I am not even sure whether he's a certified doctor.,,,1Negative#Staff
84,Lousy unskilled doc. Rude nurses. Everything Broken. Overpriced. Never come here. NEVER!,,,1Negative#Staff
85,"Doctor here is not professional at all, especially Dr.Mathews!!! Will not visit here again!",,,1Negative#Staff
86,"Worst clinic I ever been , not recommend",,,1Negative
87,Doctor's attitude sucks!,,,1Negative#Staff
88,Horrible doctor.,,,1Negative#Staff
89,"Help me a lot, thanks",,,1Positive
90,Doctor not in time,,,1Negative#Staff
91,worst ,,,1Negative
92,"A friendly and kind doctor, when I check up all the time I take my regular doctor who is kind, He is Doctor MATHEWS, the staff is also friendly, I am satisfied with this clinic service.. thank you doctor for your very …",,,1Positive#Staff#Treatment
93,"Very bad service..very expensive !! 0 star
",,,1Negative#Treatment
94,"Once he came to this clinic .... the attitude of the clinic assistant was careless when asked ... Dr's answer was also careless .... he remembers the patients who came there were free ....
",,,1Negative#Staff
95,"Worst and rotten. The toilet is rotten! Doctor cheats! Didn't even check the pulse rate but suddenly in the record he jot down, for the albumin test he should explain whether I was over protein or not. But suddenlynot even a minute and ready. then record in he bookI negative. I dont know he follow my previous doc records or what, then just pass the book without any explanation. I The staff was pretentious and rotten. Sorry  but the place and behavior are rotten!
",,,1Negative#Facilities
96,"
I’m exactly the same situation and experience with you, looks like really got alot bad comment on him. Doctor name is Malcolm. But I was headache and dizziness, at first I talk to Dr Malcolm I need to take MC today because….. when I started to told him the reason and he not let me finished my conversation direct stop me and interrupt. And the Doctor was starting to blaming on me and looks like I cheat on him just because want to take a MC letter, Dr not even respect and treat friendly on his patient, just like I cheat on him and he don’t listening what I’m saying just keep , Dr are not even check properly my blood pleasure just said you are looking good right now, now I know why Dr Malcolm got a lot bad comments! Definitely will not came visit again !",,,1Negative#Staff
97,I prefer Dr Malcom when I visit him for my yearly medical check up. He is precise in his checkup and professional. Best doctor with whom I have the opportunity to know via our company panel doctor.,,,1Positive#Staff
98,"Worst Experience over all the clinic in KL.
First of all, the reception was very unfriendly, they  been laughed at me when they ask for my IC and I gave them my IC number instead. I felt uncomfortable with the attitude, and you should just ask again instead of laughing at your patient.
Secondly , the doctor I visit named DR.MALCOM , I repeat DR.MALCOM, I repeat again DR.MALCOM. I was having period pain at the point I had fainted during work, my supervisor suggested me to take MC after few hours of work, but at the session, the time I had told him that I had a menstrual pain he straight brushed of my words and didn’t believe me like I was faking MC or something. He even said something like “You should asked your supervisor to give you a letter of consent / approval before you come and visit me.” Hello ??? Does it changes anything if I have that letter to show you ? You can’t wake a person who are fake sleeping so do you DON’T WANT TO believe your patient’s words. However he did done some body checking for me but it was take NO MORE THAN 5 minutes and said that I was fine / can’t find anything wrong with you.
Zero Empathy, Rude Attitude, Job Avoidance. I wonder how much money you’ve paid for the college / universities to fake a Doctor Certificate.
While I was trying to “fight back” which is trying to explain that I was sick, he put a full stop on that session by telling me “It’s ok miss, if you’re not satisfied with my services, you are glad to complain me from the ministry.
Last but not least, after all the accusations , judgmental and unreasonable hassle for the good old DR.MALCOM, without any advice and positive feedback, I was charged RM15 from my AIA member, and I was asked to give a RM5 consultation fees. I admit that this was my mistake that I should’ve leave earlier before they called my name and ask for the consultation fees, and should have cancel the appointment from my AIA app before they’ve got the chance to charge from my end.
I’ve also read through all the Google reviews and understand most of the patients are facing the same problem as me. Let see how long your business can stand, DR. MELCOM, your welcome.",,,1Negative#Staff#Treatment
99,"Terrible doctor experience ever.
I got sick have throat infection trying to explain symptom but got stop from doctor that blaming to come for doc letter.  Excuse me!!  Who will fake to get sick?? We need help and need rest. Why I need to wasted my time to come this far to see this terrible and helpless doc??
If you meet Dr.Malcom who is the doctor here im telling you better go get help from someone else.",,,1Negative#Staff#Treatment
100,"Disappointing visit. Came to consult and seek advice to visit a specialist for my cornea infection. Gave me a referral letter but stated “patient unable to provide any symptoms of cornea infection except she said she has”
In which I told the doc I felt a folded layer of tissue on my cornea (similar to what i had last year
resulted to a treatment to remove the infection) if that doesn’t convince you, diagnose and examine me instead of nodding and not asking any questions. I went to specialist after and was diagnosed with cornea abrasion (wounded).
Dr Malcolm is very unprofessional, shows no empathy and didn’t even put an effort to try to understand my situation.",,,1Negative#Staff
101,"This is a busy clinic; no frills. But in consultation Dr Malcom takes the time to explain the nature/origin of the pain which helped me understand why its coming back and more importantly how to handle this better. He's matter of fact and to the point but knowledgeable and answers all my questions. Diagnosis is accurate (with referrals to specialist where needed), no dishing out unnecessary antibiotics or medication (unless needed).",,,1Positive#Staff#Treatment
102,"The reception attitude was bad. I was really uncomfortable before seeing a doctor. They even refused to let me see the doctor.  Google was talking about closing at 7:30, but when I went there for the second time, there were still 10 minutes. They refused to help me to see a doctor, and the two Malays in reception looked so fierce.  Isn't it the doctor's care to take care of the patient, and I will pay for it, is it for you?  Personally, I don't support you guys go to this clinic. I suggest you guys go to Klinik Medicare and second floor (beside the POPULAR), where it is open until 10:00, and the service attitude is good.",,,1Negative#Appointments#Staff
103,"Absolutely appalled at the level of professionalism.
My case is that I got my periods in the morning and I started feeling cramps right then itself. It was not too severe but since this is something I experience regularly I knew that the pain would build up gradually and eventually become unbearable so I thought I would go see the doctor and get medication before the pain becomes unbearable.
The MALE doctor, Dr. MALCOM (same Indian doctor who I've been seeing a lot of people complain about in the reviews) that saw me had the audacity to say that he has had 15 years of experience treating women with menstrual pain and I was not walking with a hunch like women with period pain do....he checked my blood pressure felt my stomach and said everything is fine and he has had plenty of experience with women who are on periods (but have you ever physically experienced the pain that women go through and do you understand that each and every woman has different levels of pain when it comes to periods in fact some people do not even feel it at all but clearly 15 years of experience has not taught him this)
he brushed off all my comments and finished up the session real quick. 15 years of experience and a Doctor in front of his name but none of the qualities, intellect or empathy that comes hand in hand with being a doctor. I half wondered if I should shove my bloodied pad in front of his face for him to believe that I was not lying...",,,1Negative#Staff#Treatment
104,"this clinic doesnt deserve any star!
this is my report to Mediviron HQ and I will further my report.
i want to lodge a report regarding 1 of your branch doctor. if im not mistaken,  his name is Dr Malcom.  from Klinik Mediviron near Mid Valley.  I was having period pain at the point I vomit and I cant stand properly but when in session,the doctor didnt believe me and made remarks like i was coming to the clinic everymonth just to get MC and use period pain as an excuse. he was so rude. i came once in january for the same reason but he didnt give me MC as he said i wasnt sick. he just check my blood pressure. not even checking my stomach!  i've been having my period monthly since 15 years ago and having experience period pain since, been admitted to ward once and been laying on bed for 3days straight for period pain, never have any doctor said im not sick just after checking my blood pressure!  the first time he didnt believe me i can let it pass thinking maybe he had a bad day but this time, all of his words very disgusting and made me thinking how can he be a doctor, percisely a clinic doctor without having any empathy and very rude. i will make report further to the ministry and AIA about this. I also read many complains regarding him in the Google reviews which Mediviron shouldve took action.",,,1Negative#Staff#Treatment
105,"The Dr (Dr Malcolm) is so rude and arrogant 👎..
I can relate to all the comments on him
Terrible experience",,,1Negative#Staff
106,"My girlfriend complain about this clinic to me. The  doctor name Malcom is very rude to my girlfriend and he don't believe on what patient told him about the feeling. This doctor make me feeling is treat foreigner very rude way. After my girlfriend visited this clinic and i advise my girlfriend go other clinic and get better advise with manner way. Will never ever go this clinic again. As i see this google review there is many bad comment as well. I hope AIA or other insurance company look at this issue as well.
SORRY TO SAY THAT, I WILL NOT ADVISE AND NEVER EVER MY GIRL FRIEND GO THIS CLINIC ANYMORE.",,,1Negative#Staff#Treatment
107,"Girlfriend had severe gastric pains and came to this clinic as it was the closest to her house. Dr. Malcolm is condescending and has some sort of inferiority complex going on. Told and lectured my girlfriend about where the appendix is because he was a senior doctor at some government hospital (""big shot"" apparently) Even called my girlfriend a ""good girl"" for knowing where the stomach is?? Super creepy vibes, won't recommend anyone coming here.",,,1Negative#Staff
108,"The doctor here is really unprofessional and doesn’t care about patients.
He doesn’t even listen to what patient says.
I said I don’t feel like I am having food poisoning but having stomachache for long time.
But he keep saying about food poinsoning symtoms, which is not the one I am having.
And just keep asking me to go out and wait. Eventually he gave me pills for food poisoning.
Seriously this guy needs to understand what people saying.
I am not sure how other ppl treated him before, but he kept saying that he is not stupid mc doctor.
But if he doesn’t listen to what patient is actually suffering for and just give away pills he likes, that really makes him stupid mc doctor.
However, part time doctor here is really good. She is kind and really worries about her patients not like doctor in charge.",,,1Negative#Staff#Treatment
109,"I went to this clinic on Tuesday telling the doctor I have chest pain since Monday, the doctor said I was fine and can go work (with a smirk on his face) and gave me somee meds that made my throat sore instead of a MC. I had to take EL on that day because I really do not feel well. I went to work today but I still dont feel good after taking the meds for two days from this Mediviron. I went to Twin Towers Medical Centre TODAY and the doctor at Twin Towers Medical Centre tested me for Influenza and its POSITIVE!!!!!!
Good news to me!!!! I get 5 days MC!!!! Great job Mediviron Midvalley for having such positive approach on your customers health.",,,1Negative#Staff#Treatment
110,Extremely low level of patient care and professionalism by both the doctors and the nurses. They just brush off any issues quickly and in the end I'm left looking for another medical professional.,,,1Negative#Staff
111,The dr seems to rush on diagnosing and brush the patience off. The medicine prescribed was not helpful that I have to go second consultation at another clinic for my condition.,,,1Negative#Staff#Treatment
112,"Because of the cough,so i went to this clinic yesterday ,then the doctor gave me cough medicine, after took the cough medicine I vomited, and cough bleeding. I went back to the clinic the next day, and told me to queue up again... It wasn’t serious at all, it became more serious after taking the cough  medicine.",,,1Negative#Staff#Treatment
113,The indian guy doctor here is crazy rude. Never ever go here!!!! Even though im sincerely sick he acted rudely and didnt even diagnosed me properly. STAY AWAY! Better go other clinic.,,,1Negative#Staff
114,"Bad experience. Google says open till 6pm on a Saturday, I am here at 3.45pm and the whole place is locked. Tried to call to arrange for a medical check up appointment since Thursday, no one answers phone call. Bad enough that the access door is locked, with no intercom.",,,1Negative#Appointments
115,The receptionists at this clinic are very rude. I was appalled by their lack of professionalism handling patients. You are frontliners for a reason! They are rude both on the phone and in-person.,,,1Negative#Staff
116,I went here with a sore throat and a fever. The doctor was very nice and professional. Excellent service.,,,1Positive#Staff
117,"Went to open up my stitches (the doc who did the stitching had already stitched them too close to each other but I think this doc made it worse she was a little awkward and sounded very unsure about lot things. First of all, she asked how long have I had the stitches on and I told her a week and she asked me “a week? They ask you to come after a week? Not 14 days?” I like what’s that supposed to mean? Is it not fully healed? And proceed with opening the stitches anyway after saying it looked a little swollen  When she was opening the stitches the pain was just excruciating and unbearable, she had to inject the finger so it was numb BUT my finger wasn’t numb and I had to go through the injection pain AND opening the stitches.. like the injection was pointless  And then when I asked if it’s infected she was like does not know  But she did rub my hand to comfort and calm me down.. so now the wound looks like it wasn’t even stitched and there’s like a gap.. but it doesn’t hurt at all. is this normal? ",,,1Negative#Staff#Treatment
118,Reception is absolutely horrible and rude. Deserving no stars but the doctor is thorough,,,1Negative#Staff
119,"The receptionists are very rude, shouting and orresponsible. The doctor also has an facial expression tresting patients as money.",,,Staff
120,"Last time i've been here and im sick, headache and diarhea,but the indian man doc just simply said if you are dying than i can give you mc. No mc for me on that day.Stupid doc!",,,1Negative#Staff#Treatment
121,Nice service with good doctor. However very difficult to locate the clinic from ground floor as there is many similar building there and there is no significant signboard indicating which block is the clinic.,,,1Positive#Staff
122,Very good and excellent how they treat a patient. Good consultation from Doctor. Very nice and polite staff attending patient.,,,1Positive#Staff
123,"Was very professional, Dr Malcom's medication was very effective to address my persistent chesty cough & flu.",,,1Positive#Staff#Treatment
124,Feel very sick last night.. cannot hold already.. search klinik open 24hrs nearest and this klinik show up.. once arrive it was close open until 6pm only.. so dissappointed.. luckily the guard let me park for a while for me to take a rest..,,,1Negative#Appointments
125,"The receptionist is not helpful, the doctor is rude.
I wont visit again.",,,1Negative#Staff
126,Doctor did not conduct a proper diagnosis. I had to get 2nd consultation.,,,1Negative#Staff#Treatment
127,Nice doctor. Would recommend if the doctor is Dr. Malcom Pushparaj,,,1Positive#Staff
128,The service is terrible. Reception is rude to customer and very impatient to customer. Not recommended.,,,1Negative#Staff
129,Worst. Rude from the receptionist up to the Dr,,,1Negative#Staff
130,waste my time,,,1Negative#Appointments
131,"Polite doctor ..
Staff nurse cute .. healed wounds 
",,,1Positive#Staff
132,"I must say, I was a little alarmed at all the negative reviews, but do not let it deter you from experiencing their service firsthand!
My child was the patient and unfortunately does not speak the local language, but everyone from counter staff to doctor were professional and friendly. The doctor's caring bedside manner and attempts to converse ensured that my child was not anxious at all.
On top of that, she was able to expertly diagnose the issue within 10 seconds of us seeing her! Thank you Dr Zuhrah and staff, we really appreciate the help given. Will recommend your clinic to others for sure.",,,1Positive#Staff#Treatment
133,"Went to this Clinic today as i'm having a sore throat, to the extend that i'm no longer able to swallow nor drink anymore. And it is painful and only to one side of my throat and it hurts my jaw. However, the doctor here, she refused to meet me in her consultation room and choose to stand far apart from me in the registration room between the glass door. Asking me question on my medical conditions - where is the doctor-patient confidentiality here?
She told me, sore throat is a symptom to Covid-19 and she unable to allow me in- I understood that here too.
I told the doctor, I don't have any other symptom just the sore throat, and when i was about to say that i took RTK this morning, she straight away said that RTK is not accurate to detach the virus, i told her that im schedule to take PCR test tomorrow wednesday from my company my company provide onsite PCR test to all staff every Wednesday since Sept last year and i do it ever Wednesday.
She said to me that, yesterday a patient who is positive walked in with only a headache and still positive, even no symptom you can still be positive.
Honestly, i've lost words here, i just needed treatment, i just asked the doctor that if she can just give me some antibiotic or something cause i really unable to talk or even swallow my own saliva anymore then she said sure but u cant walk around, go home straight i told her that she need to gave me MC for that then, she said ok...
I turned  around and there are 2 other patient there, and they heard all the conversation and how it was done, i felt so humiliated.
I went there at 1PM during my lunch time, my office is just around the corner and i wasnt there for just an MC.
No examination was done, she didn't bother to take my temperature, blood pressure or to even look at my throat. And to my suprised the doctor wasn't even in her PPE.
I was having a bad fever last month, but a doctor in the other clinic treated me so well, even told me that ""you are really sick and you troat looks bad, pls go home and take a good rest"".She just asked me to do RTK every 4days.
Why i wrote this long, is because i am the disgruntled few that willing to share this experience to others and also to this Clinic for them to improve and do something about it.Even if you have to pay rental 4-5times more than other clinics do is not something that patient will remember you by. If you give best services with empathy and care, people will keep on coming and you don't have to worry about your rent.
Anyway, wish you all the best and for sure i wont go there anymore, will visit my doctor tonight again. Thank you.Have a great day ahead.",,,1Negative#Staff#Treatment
